number,text,name,souce,type ,,,
,"Параметры бюджета Фонда пенсионного и социального страхования обеспечат индексацию страховой пенсии по старости и фиксированные выплаты неработающим пенсионерам на уровне выше индекса роста потребительских цен текущего года, позволят в полном объёме осуществить выплаты по установленному законодательству о пенсионном и социальном страховании, а также по переданным фонду обязательствам государства.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=406038&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Комитет по бюджету и налогам рекомендует принять проект федерального закона ""О бюджете Фонда пенсионного и социального страхования Российской Федерации на 2023 год и на плановый период 2024 и 2025 годов"" в третьем чтении.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=406038&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
4,"Проект федерального закона ""О бюджете Федерального фонда обязательного медицинского страхования на 2023 год и на плановый период 2024 и 2025 годов"" прошёл все необходимые экспертизы, подготовлен к рассмотрению в третьем чтении. Законопроект размещён в автоматизированной системе. Напомню, в первом чтении он был принят 27 октября, во втором чтении - 22 ноября.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=406038&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Рост расходов на государственную программу ""Развитие здравоохранения"" в следующем году составит 20 процентов. Общие расходы на раздел ""Здравоохранение"" - 6,2 триллиона рублей, и 56 процентов этих расходов обеспечит бюджет фонда обязательного медицинского страхования. Бюджет Федерального фонда обязательного медицинского страхования сбалансирован, устойчив. Субвенции на переданные полномочия в сфере обязательного медицинского страхования субъектам Российской Федерации вырастут на 286 миллиардов рублей. Бюджет фонда обеспечит цели и задачи развития здравоохранения и обязательного медицинского страхования, предусмотренные Указом Президента Российской Федерации ""О национальных целях и стратегических задачах развития Российской Федерации..."".",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=406038&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Комитет по бюджету и налогам рекомендует принять проект федерального закона ""О бюджете Федерального фонда обязательного медицинского страхования на 2023 год и на плановый период 2024 и 2025 годов"" в третьем чтении.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=406038&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
5,"Комитет по бюджету и налогам предлагает вашему вниманию заключения на проекты законов о бюджете пенсионного и социального фонда и бюджете Федерального фонда обязательного медицинского страхования на 2023 год и на плановый период. Хочу обратить ваше внимание на то, что это подробные документы, размещённые в автоматизированной системе, в них дан системный анализ исполнения социальных обязательств государства при соответствии рассматриваемых проектов федеральных законов рассмотренному вчера проекту закона о федеральном бюджете, законодательству об обязательном социальном, пенсионном и медицинском страховании.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=403942&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Заключения Комитета по бюджету и налогам включают в себя основные положения, выводы и предложения Счётной палаты Российской Федерации. Хотелось бы выразить благодарность Счётной палате не только за системный анализ бюджетов, но ещё и за очень оперативное реагирование на запросы членов Комитета по бюджету и налогам и очень быстро предоставляемые материалы. В заключениях Комитета по бюджету и налогам также отражена позиция профильных комитетов Государственной Думы - Комитета по труду, социальной политике и делам ветеранов, Комитета по охране здоровья, - а также социальных комитетов Совета Федерации, все они поддерживают принятие проектов федеральных законов о бюджетах фондов в первом чтении. В своих заключениях Комитет по бюджету и налогам также опирался на экспертную позицию, научную позицию Высшей школы экономики, Финансового университета при правительстве, а также Российской академии народного хозяйства и государственной службы.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=403942&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"По сложившейся традиции итоговое голосование по бюджетам внебюджетных фондов происходит в комитете после детального обсуждения государственных программ социальной направленности - это ""Развитие здравоохранения"", ""Социальная поддержка граждан"", ""Доступная среда"", ""Содействие занятости населения"", при этом эти программы представлялись лично министрами Правительства Российской Федерации. Это позволяет ещё раз уточнить сбалансированность основных параметров бюджетов фондов, рассмотреть вопрос устойчивости фондов и изыскать дополнительные пути повышения эффективности для достижения целей, которые определены Президентом Российской Федерации.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=403942&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Официальными представителями правительства, профильными комитетами уже очень подробно были изложены все цифры, все изменения бюджетов, и поэтому, выступая с позицией комитета, мне хотелось бы отразить лишь четыре наиболее важных тренда, которые учитывались при формировании бюджетов и эффект от которых окажет влияние на исполнение социальных обязательств государства.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=403942&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Первое. Счётная палата вчера уже говорила о том, что в 2023 году прогнозируется снижение доходов федерального бюджета с 27,7 триллиона рублей до 26 триллионов. Вместе с тем доходы внебюджетных фондов увеличиваются с 13,7 триллиона в текущем году до 16,7 триллиона в 2023 году. Это очень важно и является особым подтверждением социальной направленности, устойчивости бюджетов на предстоящую трёхлетку.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=403942&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Другим важным трендом следует назвать существенный рост расходов по государственным программам социальной направленности. Социальная поддержка граждан на следующий год - плюс 30 процентов, развитие здравоохранения на следующий год - плюс 20 процентов, обеспечение доступного жилья - плюс 21 процент.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=403942&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Третье. При формировании доходов бюджетов фондов учтены изменения законодательства, которые предлагались правительством и дорабатывались депутатами Государственной Думы. Я имею в виду введение единого тарифа страхового взноса для государственных внебюджетных фондов. Это очень важная новация, которая позволила существенно увеличить доходы бюджетов фондов.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=403942&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"И наконец, наиболее важным и системным решением является преобразование двух фондов с 1 января 2023 года - тема, о которой говорили очень много в стенах Государственной Думы, это, безусловно, откроет очень широкие перспективы для повышения эффективности социальной защиты наших граждан. Одним из первых шагов станет введение уже с 1 января 2023 года универсального пособия, на основе которого будет внедрена единая, комплексная, бесшовная адресная поддержка семей с детьми с ранних сроков беременности до достижения ребёнком 17 лет, которой будут охвачены семьи, воспитывающие более 9 миллионов детей. Из федерального бюджета через Фонд пенсионного и социального страхования в 2023 году 520 миллиардов рублей уйдёт на эти цели, 147 миллиардов рублей добавят субъекты Российской Федерации.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=403942&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"И несколько слов и несколько цифр, которые ещё не звучали, непосредственно о фондах. Общие расходы на раздел ""Здравоохранение"" составят 6,2 триллиона рублей, рост к утверждённым цифрам в 2022 году - более 16 процентов. Бюджет фонда обязательного медицинского страхования - это 52 процента всех расходов на здравоохранение. Мы видим рост подушевого норматива почти на 1700 рублей. Субвенции на переданные полномочия в части обязательного медицинского страхования увеличиваются на 286 миллиардов рублей. Как результат, мы видим, что расширяется программа государственных гарантий, увеличиваются объёмы бесплатной медицинской помощи. Следует отметить, что и это не окончательные цифры благодаря решению, которое было принято вчера: постановлением Государственной Думы рекомендовано Правительству Российской Федерации совместно с Комитетом по бюджету и налогам в рамках подготовки к рассмотрению Государственной Думой проекта закона о бюджете предусмотреть финансирование мероприятий, направленных на борьбу с сахарным диабетом.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=403942&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"И о бюджете Фонда пенсионного и социального страхования. Расходная часть бюджета - 13,5 триллиона рублей, почти 99 процентов расходов будет направлено на исполнение социальных обязательств государства. Могу лишь подтвердить, что параметры бюджета фонда обеспечат рост пенсий по старости, опережающий рост индекса потребительских цен. Индексация пенсий и пособий соответствует предусмотренной в законодательстве об обязательном пенсионном и социальном страховании.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=403942&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"И наконец, тема, которой депутаты всегда уделяют самое большое внимание. Межбюджетные трансферты из федерального бюджета на предоставление инвалидам технических средств реабилитации вырастут на 13,5 процента, то есть почти на 5 миллиардов рублей.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=403942&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Уважаемые коллеги, Счётная палата Российской Федерации подтверждает, что ассигнований, предусмотренных в бюджетах фондов, достаточно для выполнения всех социальных обязательств, бюджеты сбалансированы. Профильные комитеты поддерживают принятие их в первом чтении. Комитет по бюджету и налогам рекомендует поддержать законопроекты в первом чтении.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=403942&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
6,"Комитет по бюджету и налогам рассмотрел проект федерального закона, внесённый группой авторов во главе с Анатолием Геннадьевичем Аксаковым. Комитет при обсуждении данного проекта федерального закона особо отметил, что авторами проведена очень серьёзная, большая работа. Закон имеет очень высокую социальную направленность, потому что стимулирует развитие негосударственного пенсионного страхования. Закон имеет очень высокую экономическую направленность, потому что длинные деньги - это основа роста, роста экономики. И в целом концепция проекта федерального закона поддержана Правительством Российской Федерации. На данный проект федерального закона получено два заключения, оба положительные, Правительство Российской Федерации поддерживает, Совет Федерации, Счётная палата.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=403398&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"В заключении Комитета по бюджету и налогам три замечания, которые, безусловно, будут учтены при подготовке данного проекта федерального закона ко второму чтению. Первое - это необходимость уточнения расчётов и финансово-экономического обоснования, поскольку это связано с выпадающими доходами как федерального бюджета, так и бюджетов субъектов Российской Федерации. Второе - необходимость уточнения даты вступления закона в силу по названным причинам. И комитет также полагает возможным уточнить, что льгота будет распространяться на детей-инвалидов, находящихся под опекой (попечительством) физического лица, которое заключило договор негосударственного пенсионного страхования.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=403398&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,В связи с изложенным комитет предлагает поддержать его решение и проголосовать за проект федерального закона в первом чтении.,Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=403398&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
7,"Вашему вниманию предлагается проект федерального закона, внесённый сенатором Российской Федерации Артамоновым Анатолием Дмитриевичем, сенатором Российской Федерации Рябухиным Сергеем Николаевичем и группой депутатов Государственной Думы. Всех авторов объединяет принадлежность к субъектам Российской Федерации, в которых сохранилась, эффективно и успешно работает система централизованного обеспечения государственных медицинских учреждений лекарственными препаратами, иммунобиологическими препаратами, средствами для дезинфекции, специализированными продуктами лечебного питания, наркотическими препаратами, расходными материалами, услугами по доставке, хранению лекарственных препаратов, а также содержанию государственной аптечной сети. Правовые основания такой работы - это право, определённое законом о контрактной системе, при условии, если соответствующие полномочия установлены законом субъекта Российской Федерации.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=402313&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Необходимо отметить, что субъекты Российской Федерации, такие как Татарстан, Нижегородская область, Калужская область, Томская область, примерно 15 субъектов, очень активно и уже в течение десятилетий пользуются этим правом, используют такой механизм обеспечения государственных медицинских учреждений. Практически отсутствуют отсроченные рецепты, дефицит лекарственных препаратов, расходных материалов. Такая модель показала очень высокую эффективность в условиях пандемии, когда необходимые средства индивидуальной защиты, маски, лекарственные препараты, медицинские изделия закупались оперативно, предельно оперативно.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=402313&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"В то же время в соответствии с федеральным законом от 2 июля 2021 года № 360-ФЗ сохранение вышеупомянутой централизованной системы лекарственного обеспечения станет невозможным с 1 июля 2023 года. Реализация упомянутой нормы потребует именно для этих субъектов проведения очень серьёзной, чувствительной реформы, и система, на наш взгляд очень эффективная, перестанет работать. Это приведёт к большим расходам субъектов Российской Федерации, это снизит доступность лекарственной помощи и сведёт на нет государственную систему лекарственного обеспечения в виде государственных аптек. А они расположены, как правило, в тех местах, в которые не идёт бизнес, и через них осуществляется обеспечение наркотическими препаратами, региональная льгота и федеральная льгота.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=402313&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"По мнению авторов, централизация полномочий по обеспечению закупок, хранения, доставки лекарственных препаратов, медицинских изделий обеспечивает эффективное управление товарными запасами, своевременное перераспределение, обеспечивает минимальный уровень цен на закупаемые товары за счёт консолидации объёмов, сохраняет государственную аптечную сеть. Например, в Татарстане 190 государственных аптек расположены как раз в тех населённых пунктах, где бизнес не будет представлять эти аптеки. Кроме того, эта система позволяет оперативно реагировать на возникающие чрезвычайные ситуации в связи с наличием достаточного резерва лекарственных препаратов, которые создаются и эффективно управляются на аптечных складах.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=402313&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Ещё два фактора. Оперативность обеспечивается закупками у уполномоченного поставщика, а его закупки не зависят от доведённых лимитов бюджетных обязательств. Кроме того, это, безусловно, выгодно отечественной и вообще в целом фармацевтической промышленности, поскольку формируется на долгие годы вперёд консолидированный заказ.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=402313&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Учитывая важность сохранения за субъектами Российской Федерации права сохранить централизованную модель лекарственного обеспечения, особенно в условиях недружественных действий иностранных государств, международных организаций, проектом федерального закона предлагается дополнить часть первую статьи 93 новым пунктом, согласно которому государственным учреждениям здравоохранения предоставляется право закупать лекарственные средства, иммунологические препараты, специализированные продукты лечебного питания, медицинские изделия, средства дезинфекции, а также услуги по хранению, доставке соответствующих товаров у государственного предприятия субъекта Российской Федерации либо акционерного общества, 100 процентов капитала которого принадлежит субъекту Российской Федерации. Указанное государственное предприятие либо акционерное общество предлагается определять нормативным актом Правительства Российской Федерации по обращению высшего исполнительного органа государственной власти субъекта Российской Федерации в случае, если он будет наделён соответствующими полномочиями законом субъекта Российской Федерации.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=402313&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Наш проект федерального закона получил заключения субъектов, получил заключение правительства и концептуально поддерживается. При этом есть ряд замечаний, по которым мы готовы доработать законопроект к процедуре второго чтения.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=402313&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
8,"Комитет по бюджету и налогам рассмотрел внесённые Правительством Российской Федерации проекты федеральных законов об исполнении в 2021 году бюджетов Пенсионного фонда Российской Федерации, Федерального фонда обязательного медицинского страхования и Фонда социального страхования. Цифры очень подробно изложили официальные представители Правительства Российской Федерации, прозвучала, как всегда, очень подробная и чёткая позиция Счётной палаты Российской Федерации. Комитет по бюджету и налогам разместил в свободном доступе подробный анализ исполнения бюджетов внебюджетных фондов, и все могут с ним ознакомиться.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=401339&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
,"Сбалансированность, устойчивость бюджетов фондов, соответствие бюджетному законодательству, соответствие большому, федеральному бюджету, соответствие законодательству об обязательном пенсионном, социальном страховании и обязательном медицинском страховании - это основные критерии, по которым Комитет по бюджету и налогам оценивал отчёты об исполнении бюджетов внебюджетных фондов.",Фаррахов А.З.,http://cir.duma.gov.ru/duma/document/text/?doc_id=401339&QueryID=192&HighlightQuery=192&query_target=news,Пленарное заседание,,,
